"","status","geometry","type","source","sYear","Órgãos Beneficiados","Fase","Quantidade de UH","Tipo de UH"," Programa"," Valor Estadual"," Valor Total"," Bairro"," CEP"," Município"," Código do Município"," UF"," Região"," Longitude","Latitude","id"
"3190","Funciona","POINT (-49.648557 -20.626034)","SPE",NA,NA," FUND.CTO.AT.SOCIO-EDUC.ADOL.FUND.CASA-SP"," Entregue"," 1"," "," SPE"," 32333,39"," 90000"," "," 15170000"," TANABI"," 3553401"," SP"," ESP"," -49.648557"," -20.626034",3190
"3191","Funciona","POINT (-47.272865 -22.805111)","SPE",NA,NA," UNIVERSIDADE ESTADUAL CAMPINAS - UNICAMP"," Entregue"," 1"," "," SPE"," 22583,48"," 150000"," RES GUAIRA"," 13180000"," SUMARÉ"," 3552403"," SP"," RMC"," -47.272865"," -22.805111",3191
"3192","Funciona","POINT (-48.548859 -22.259827)","SPE",NA,NA," EDUCACAO"," Entregue"," 1"," "," SPE"," 32552,77"," 115000"," D. INDUSTRIAL"," 17290860"," JAÚ"," 3525300"," SP"," ESP"," -48.548859"," -22.259827",3192
"3193","Funciona","POINT (-45.539595 -23.017519)","SPE",NA,NA," POLICIA MILITAR ESTADO SAO PAULO"," Entregue"," 1"," "," SPE"," 3100"," 127000"," VILA SAO JOSE"," 12070350"," TAUBATÉ"," 3554102"," SP"," RMVPLN"," -45.539595"," -23.017519",3193
"3194","Funciona","POINT (-46.892327 -23.599888)","SPE",NA,NA," DEFENSORIA PUBLICA DO ESTADO"," Entregue"," 1"," "," SPE"," 33044,70"," 130000"," BARRO BRANCO"," 6716120"," COTIA"," 3513009"," SP"," RMSP"," -46.892327"," -23.599888",3194
"3195","Funciona","POINT (-47.057089 -22.954312)","SPE",NA,NA," UNIVERSIDADE ESTADUAL CAMPINAS - UNICAMP"," Entregue"," 1"," "," SPE"," 9259,63"," 169556,45"," JD SAO JOAO"," 13040565"," CAMPINAS"," 3509502"," SP"," RMC"," -47.057089"," -22.954312",3195
"3196","Funciona","POINT (-47.116883 -23.02356)","SPE",NA,NA," POLICIA MILITAR ESTADO SAO PAULO"," Entregue"," 1"," "," SPE"," 3100"," 148000"," JD NV EUROPA"," 13040015"," CAMPINAS"," 3509502"," SP"," RMC"," -47.116883"," -23.02356",3196
"3197","Funciona","POINT (-46.220281 -23.565908)","SPE",NA,NA," EDUCACAO"," Entregue"," 1"," "," SPE"," 34148,73"," 135000"," JD LAYR II"," 8760490"," MOGI DAS CRUZES"," 3530607"," SP"," RMSP"," -46.220281"," -23.565908",3197
"3198","Funciona","POINT (-47.360559 -20.5664)","SPE",NA,NA," EDUCACAO"," Entregue"," 1"," "," SPE"," 34500"," 138000"," FRANCA POLO CLUBE"," 14412282"," FRANCA"," 3516200"," SP"," ESP"," -47.360559"," -20.5664",3198
"3199","Funciona","POINT (-47.82407 -21.139018)","SPE",NA,NA," HOSPITAL DAS CLINICAS FAC.MED. RIB.PRETO"," Entregue"," 1"," "," SPE"," 23398"," 118000"," JD JAVARI"," 14060660"," RIBEIRÃO PRETO"," 3543402"," SP"," ESP"," -47.82407"," -21.139018",3199
