"","status","geometry","type","source","sYear","Empreendimento","Fase","Quantidade de UH"," Tipo de UH"," Programa"," Valor Estadual"," Valor Total"," Logradouro"," Número do Logradouro"," Bairro"," CEP"," Município"," Código do Município"," Região","Longitude","Latitude","id"
"167","Funciona","POINT (-47.515 -23.4158333333333)","FAR",NA,NA," JARDIM ALTOS DE IPANEMA"," OBRAS"," 2160"," APTO"," FAR"," 38880000"," 203296000"," Rodovia                   EMERENCIANO PRESTES DE BARROS"," "," "," "," Sorocaba"," 3552205"," RMS"," -47.515"," -23.4158333333333",167
"168","Funciona","POINT (-47.5167222222222 -23.4006111111111)","FAR",NA,NA," JARDIM CARANDÁ"," OBRAS >= 85%"," 2560"," APTO"," FAR"," 47104000"," 226304000"," Rodovia                   Emerenciano Prestes de Barros"," "," Caguassu"," 18072859"," Sorocaba"," 3552205"," RMS"," -47.5167222222222"," -23.4006111111111",168
"169","Funciona","POINT (-46.5581666666667 -23.1171944444444)","FAR",NA,NA," JERÔNIMO DE CAMARGO CONDOMÍNIO 2"," ENTREGA TOTAL"," 360"," APTO"," FAR"," 6001562,49"," 31201562,49"," Avenida                   JERÔNIMO DE CAMARGO"," "," CAETETUBA"," "," Atibaia"," 3504107"," ESP"," -46.5581666666667"," -23.1171944444444",169
"170","Funciona","POINT (-46.5025388888889 -23.6526222222222)","FAR",NA,NA," CONDOMINIO GUARATINGUETA IV"," ENTREGA TOTAL"," 200"," APTO"," FAR"," 4680000"," 17680000"," Avenida                   Guaratinguetá"," 1051"," Jardim Alzira Franco"," 09290270"," Santo André"," 3547809"," RMSP"," -46.5025388888889"," -23.6526222222222",170
"171","Funciona","POINT (-46.87575 -23.0071388888889)","FAR",NA,NA," CONDOMÍNIO HABITACIONAL DE INTERESSE SOCIAL RESIDENCIAL GETÚLIO LUVISION"," OBRAS"," 192"," APTO"," FAR"," 3055077,22"," 17647077,22"," Estrada Municipal SENTIDO VALINHOS GLEBA 06 B1"," 0"," COCAIS"," 13256700"," Itatiba"," 3523404"," RMC"," -46.87575"," -23.0071388888889",171
"172","Funciona","POINT (-49.4530555555556 -21.98)","FAR",NA,NA," CONDOMÍNIO HABITACIONAL PIRAJUÍ I"," CONCLUÍDO"," 239"," CASA"," FAR"," 2390000"," 16730000"," Rodovia ANTONIO CARLOS FALAVINHA"," 0"," "," "," Pirajuí"," 3538907"," ESP"," -49.4530555555556"," -21.98",172
"173","Funciona","POINT (-46.3205 -23.4394166666667)","FAR",NA,NA," CONDOMÍNIO JARDIM ALTOS DO PINHEIRINHO I"," OBRAS"," 612"," APTO"," FAR"," 11762266,68"," 58274266,68"," Estrada                   DO CUIABÁ"," "," JARDIM CAIUBI"," "," Itaquaquecetuba"," 3523107"," RMSP"," -46.3205"," -23.4394166666667",173
"174","Funciona","POINT (-46.4756666666667 -23.4034166666667)","FAR",NA,NA," CONDOMÍNIO NELSON RODRIGUES"," CONCLUÍDO"," 380"," APTO"," FAR"," 2404275,20"," 25964275,20"," Rua                       Nelson Rodrigues"," "," Bananal"," "," Guarulhos"," 3518800"," RMSP"," -46.4756666666667"," -23.4034166666667",174
"175","Funciona","POINT (-45.5046666666667 -22.9429722222222)","FAR",NA,NA," BEM VIVER PINDAMONHANGABA"," APORTE EMITIDO"," 1536"," APTO"," FAR"," 30720000"," 138240000"," Estrada da Mombaça, Gleba B"," SN"," Mombaça"," "," Pindamonhangaba"," 3538006"," RMVPLN"," -45.5046666666667"," -22.9429722222222",175
"176","Funciona","POINT (-45.5720805555556 -23.0656111111111)","FAR",NA,NA," BENEDITO CAPELETO"," ENTREGA TOTAL"," 108"," CASA SOBREPOSTA"," FAR"," 1062720"," 7218720"," Estrada                   do Barreiro"," "," São Gonçalo"," 12092000"," Taubaté"," 3554102"," RMVPLN"," -45.5720805555556"," -23.0656111111111",176
"177","Funciona","POINT (-46.6382222222222 -23.5441111111111)","FAR",NA,NA," CENTRO CONSELHEIRO CRISPINIANO"," OBRAS >= 85%"," 72"," APTO"," FAR"," 678087,89"," 6119912,44"," Rua                       Conselheiro Crispiniano"," 125"," República"," 01037001"," São Paulo"," 3550308"," RMSP"," -46.6382222222222"," -23.5441111111111",177
"178","Funciona","POINT (-46.32765 -23.5330444444444)","FAR",NA,NA," CONDOMÍNIO AVENIDA PAULISTA I"," OBRAS"," 300"," APTO"," FAR"," 5318575,76"," 28118575,76"," Avenida                   PAULISTA"," "," VILA IDALINA"," "," Suzano"," 3552502"," RMSP"," -46.32765"," -23.5330444444444",178
