"","status","geometry","type","source","sYear","Empreendimento","Fase","Quantidade de UH"," Tipo de UH"," Programa"," Valor Estadual"," Valor Total"," Logradouro"," Número do Logradouro"," Bairro"," CEP"," Município"," Código do Município"," Região","Longitude","Latitude","id"
"1","Funciona","POINT (-51.1127222222222 -20.6372222222222)","PDU",NA,NA," PEREIRA BARRETO"," ASSINADO"," 236"," CASA"," PDU"," 11287713"," 12744000","  "," "," "," "," PEREIRA BARRETO"," 3537404"," ESP"," -51.1127222222222"," -20.6372222222222",1
"2","Funciona","POINT (-46.9062222222222 -21.5902777777778)","PDU",NA,NA," VALE REDENTOR"," OBRAS"," 3785"," FAMÍLIA"," PDU"," 1616244,57"," 1626310,08"," "," "," "," "," SÃO JOSÉ DO RIO PARDO"," 3549706"," ESP"," -46.9062222222222"," -21.5902777777778",2
"3","Funciona","POINT (-48.1788888888889 -21.7839166666667)","PDU",NA,NA," CONJUNTO RESIDENCIAL VALLE VERDE"," OBRAS"," 1440"," CASA"," PDU"," 1300000"," 1304067,26"," Avenida BERCHOLINA A. C. CONCEIÇÃO"," S/N"," JARDIM ROBERTO SELMI"," "," ARARAQUARA"," 3503208"," ESP"," -48.1788888888889"," -21.7839166666667",3
"4","Funciona","POINT (-47.5483333333333 -23.4427222222222)","PDU",NA,NA," FAZENDA VILETA"," OBRAS"," 1061"," FAMÍLIA"," PDU"," 9489978,56"," 9689978,56"," Selecione... "," "," GEORGE OETERER"," "," IPERÓ"," 3521002"," RMS"," -47.5483333333333"," -23.4427222222222",4
"5","Funciona","POINT (-46.9744722222222 -21.7314444444444)","PDU",NA,NA," JARDIM NOVA ITOBI"," ENTREGA TOTAL"," 305"," LOTE"," PDU"," 1499170,92"," 1501285,48"," Rodovia                   VICENTE NASSER - SP 350"," "," "," "," ITOBI"," 3523800"," ESP"," -46.9744722222222"," -21.7314444444444",5
