"","status","geometry","type","source","sYear","Empreendimento","Fase","Quantidade de UH"," Tipo de UH"," Programa"," Valor Estadual"," Valor Total"," Logradouro"," Número do Logradouro"," Bairro"," CEP"," Município"," Código do Município"," Região","Longitude","Latitude","id"
"36","Funciona","POINT (-49.1753333333333 -23.8864444444444)","Rural",NA,NA," JOÃO DE BARRO - ITABERÁ VIII"," ENTREGA TOTAL"," 39"," CASA"," RURAL"," 390000"," 1579500"," Adro "," 0"," CAFEZAL VELHO"," "," Itaberá"," 3521705"," ESP"," -49.1753333333333"," -23.8864444444444",36
"37","Funciona","POINT (-49.1430833333333 -23.8599166666667)","Rural",NA,NA," JOÃO DE BARRO - ITABERÁ X"," OBRAS >= 85%"," 42"," CASA"," RURAL"," 420000"," 1701000"," Rua "," 0"," RIO VERDE"," "," Itaberá"," 3521705"," ESP"," -49.1430833333333"," -23.8599166666667",37
"38","Funciona","POINT (-49.1412777777778 -23.86475)","Rural",NA,NA," JOÃO DE BARRO - ITABERÁ XI"," OBRAS"," 41"," CASA"," RURAL"," 410000"," 1660500"," Rua "," 0"," TOMÉ"," "," Itaberá"," 3521705"," ESP"," -49.1412777777778"," -23.86475",38
"39","Funciona","POINT (-48.8631694444444 -24.5656527777778)","Rural",NA,NA," JOAO DE BARRO - ITAOCA 1"," OBRAS"," 35"," CASA"," RURAL"," 350000"," 1417500"," Estrada N/C"," S/N"," GUARDA MÃO"," "," Itaóca"," 3522158"," ESP"," -48.8631694444444"," -24.5656527777778",39
"40","Funciona","POINT (-48.852 -24.0376944444444)","Rural",NA,NA," JOÃO DE BARRO - ITAPEVA VI"," ENTREGA TOTAL"," 45"," CASA"," RURAL"," 450000"," 1822500"," Adro "," 0"," PACOVA e AVENCAL"," "," Itapeva"," 3522406"," ESP"," -48.852"," -24.0376944444444",40
"41","Funciona","POINT (-48.8519444444444 -24.0369444444444)","Rural",NA,NA," JOÃO DE BARRO - ITAPEVA VII"," ENTREGA TOTAL"," 32"," CASA"," RURAL"," 320000"," 1296000"," Adro "," 0"," LAGOA GRANDE, FUNDÃO e FAXINAL"," "," Itapeva"," 3522406"," ESP"," -48.8519444444444"," -24.0369444444444",41
"42","Funciona","POINT (-48.8708888888889 -23.9852777777778)","Rural",NA,NA," JOÃO DE BARRO - ITAPEVA VIII"," ENTREGA TOTAL"," 45"," CASA"," RURAL"," 450000"," 1822500"," Adro "," 0"," SALTINHO DO COQUEIRAL e COELHO"," "," Itapeva"," 3522406"," ESP"," -48.8708888888889"," -23.9852777777778",42
"43","Funciona","POINT (-49.4866666666667 -23.7127777777778)","Rural",NA,NA," JOÃO DE BARRO - ITAPORANGA"," ENTREGA TOTAL"," 13"," CASA"," RURAL"," 130000"," 526500"," Adro "," 0"," DA ONÇA, PAU´DALHO e SANTO ANTÔNIO"," "," Itaporanga"," 3522802"," ESP"," -49.4866666666667"," -23.7127777777778",43
"44","Funciona","POINT (-49.4826944444444 -23.7045)","Rural",NA,NA," JOÃO DE BARRO - ITAPORANGA II"," ENTREGA TOTAL"," 24"," CASA"," RURAL"," 240000"," 972000"," Rua "," 0"," BAIRRO DA ONÇA"," "," Itaporanga"," 3522802"," ESP"," -49.4826944444444"," -23.7045",44
"45","Funciona","POINT (-49.4913888888889 -23.9488888888889)","Rural",NA,NA," JOAO DE BARRO - ITARARÉ 3"," OBRAS"," 40"," CASA"," RURAL"," 400000"," 1620000"," Estrada N/C"," S/N"," CAÇADOR"," 18460000"," Itararé"," 3523206"," ESP"," -49.4913888888889"," -23.9488888888889",45
"46","Funciona","POINT (-49.2870305555556 -24.0544305555556)","Rural",NA,NA," JOÃO DE BARRO - ITARARÉ I"," ENTREGA TOTAL"," 26"," CASA"," RURAL"," 260000"," 1053000"," Adro "," 0"," PEDRABRANCA, CERRADO, PONTE ALTO, MORRO VERMELHO, SERRINHA, BARRERINHO e PASSO FINO"," "," Itararé"," 3523206"," ESP"," -49.2870305555556"," -24.0544305555556",46
"47","Funciona","POINT (-49.2870305555556 -24.0530416666667)","Rural",NA,NA," JOÃO DE BARRO - ITARARÉ II"," ENTREGA TOTAL"," 29"," CASA"," RURAL"," 290000"," 1174500"," Adro "," 0"," BOA VISTA, CAÇADOR, CACHOEIRA, HERVAL, LAGEADO, MATÃO, MORRO CHATO, QUADRO, SANTA BARBARA, SANTA CRU"," "," Itararé"," 3523206"," ESP"," -49.2870305555556"," -24.0530416666667",47
"48","Funciona","POINT (-48.9031111111111 -24.1234722222222)","Rural",NA,NA," JOÃO DE BARRO - NOVA CAMPINA V"," ENTREGA TOTAL"," 36"," CASA"," RURAL"," 360000"," 1458000"," Adro "," 0"," ITAOCA"," "," Nova Campina"," 3532827"," ESP"," -48.9031111111111"," -24.1234722222222",48
"49","Funciona","POINT (-48.9030833333333 -24.1228611111111)","Rural",NA,NA," JOÃO DE BARRO - NOVA CAMPINA VI"," ENTREGA TOTAL"," 36"," CASA"," RURAL"," 360000"," 1458000"," Adro "," 0"," CATETO"," "," Nova Campina"," 3532827"," ESP"," -48.9030833333333"," -24.1228611111111",49
"50","Funciona","POINT (-48.7361305555556 -23.3908722222222)","Rural",NA,NA," JOAO DE BARRO - PARANAPANEMA 1"," OBRAS"," 47"," CASA"," RURAL"," 470000"," 1903500"," Estrada N/C"," S/N"," SITIO SAO PEDRO"," 18720000"," Paranapanema"," 3535804"," ESP"," -48.7361305555556"," -23.3908722222222",50
"51","Funciona","POINT (-47.426025 -23.7144305555556)","Rural",NA,NA," JOAO DE BARRO - PIEDADE 1"," APORTE EMITIDO"," 19"," CASA"," RURAL"," 190000"," 769500"," Estrada N/V"," S/N"," BATEIA DE CIMA"," 18170000"," Piedade"," 3537800"," RMS"," -47.426025"," -23.7144305555556",51
"52","Funciona","POINT (-47.4472944444444 -23.7111138888889)","Rural",NA,NA," PIETA 1"," OBRAS"," 13"," CASA"," RURAL"," 130000"," 513500"," Estrada N/C"," S/N"," RIBEIRAO BONITO"," 18170000"," Piedade"," 3537800"," RMS"," -47.4472944444444"," -23.7111138888889",52
"53","Funciona","POINT (-47.3892972222222 -23.6971583333333)","Rural",NA,NA," PIETA 2"," OBRAS"," 23"," CASA"," RURAL"," 230000"," 908500"," Estrada N/C"," S/N"," LIBERDADE"," 18170000"," Piedade"," 3537800"," RMS"," -47.3892972222222"," -23.6971583333333",53
"54","Funciona","POINT (-47.3892972222222 -23.6971583333333)","Rural",NA,NA," PIETA 3"," APORTE EMITIDO"," 8"," CASA"," RURAL"," 80000"," 316000"," Rua n/c"," n/c"," Sarapui, Bateia e Ribeirao Grande"," 18170000"," Piedade"," 3537800"," RMS"," -47.3892972222222"," -23.6971583333333",54
"55","Funciona","POINT (-49.0211 -23.9080222222222)","Rural",NA,NA," PROJETO ESPERANÇA"," OBRAS"," 6"," CASA"," RURAL"," 60000"," 237000"," Estrada N/C"," S/N"," SALTO DO RIO VERDE"," 18440000"," Itaberá"," 3521705"," ESP"," -49.0211"," -23.9080222222222",55
"56","Funciona","POINT (-48.0403888888889 -24.99575)","Rural",NA,NA," PROJETO MULHERES QUILOMBOLAS ARTESAS DE CANANEIA"," APORTE EMITIDO"," 29"," CASA"," RURAL"," 290000"," 1145500"," Estrada S/N"," S/N"," MANDIRA"," 11990000"," Cananéia"," 3509908"," ESP"," -48.0403888888889"," -24.99575",56
"57","Funciona","POINT (-48.4080833333333 -24.6027888888889)","Rural",NA,NA," PROJETO QUILOMBOLAS DO VALE DO RIBEIRA I"," APORTE EMITIDO"," 50"," CASA"," RURAL"," 500000"," 1975000"," Estrada S/n"," S/N"," NHUNGUARA, SAPATU E ANDRE LOPES"," 11960970"," Eldorado"," 3514809"," ESP"," -48.4080833333333"," -24.6027888888889",57
"58","Funciona","POINT (-48.4265277777778 -24.5876111111111)","Rural",NA,NA," PROJETO QUILOMBOLAS DO VALE DO RIBEIRA II"," APORTE EMITIDO"," 50"," CASA"," RURAL"," 500000"," 1975000"," Estrada S/N"," S/N"," NHUNGUARA, SAPATU, IVOPURANDUVA, POÇA E ANDRE LOPES"," 11960000"," Eldorado"," 3514809"," ESP"," -48.4265277777778"," -24.5876111111111",58
"59","Funciona","POINT (-48.5942777777778 -24.5851944444444)","Rural",NA,NA," PROJETO QUILOMBOLAS DO VALE DO RIBEIRA III"," APORTE EMITIDO"," 27"," CASA"," RURAL"," 270000"," 1066500"," Estrada S/N"," S/N"," NHUNGUARA"," 18330000"," Iporanga"," 3521200"," ESP"," -48.5942777777778"," -24.5851944444444",59
"60","Funciona","POINT (-48.4558888888889 -24.5855555555556)","Rural",NA,NA," PROJETO QUILOMBOLAS DO VALE DO RIBEIRA IV"," APORTE EMITIDO"," 27"," CASA"," RURAL"," 270000"," 1066500"," Estrada S/N"," S/N"," NGUNGUARA"," 18330000"," Iporanga"," 3521200"," ESP"," -48.4558888888889"," -24.5855555555556",60
"61","Funciona","POINT (-48.4344444444444 -24.5929166666667)","Rural",NA,NA," PROJETO QUILOMBOLAS DO VALE DO RIBEIRA V"," APORTE EMITIDO"," 23"," CASA"," RURAL"," 230000"," 908500"," Estrada S/N"," S/N"," NHUNGUARA, SAPATU, POÇA E ANDRE LOPES"," 11960000"," Eldorado"," 3514809"," ESP"," -48.4344444444444"," -24.5929166666667",61
"62","Funciona","POINT (-51.9520611111111 -22.4071166666667)","Rural",NA,NA," PE ARCO IRIS, HAROLDINA E SAO PEDRO - GRUPO E"," APORTE EMITIDO"," 13"," CASA"," RURAL"," 129997,14"," 513497,14"," Estrada Municipal MIRANTE DO PARANAPANEMA"," KM 15"," N/C"," 19260000"," Mirante do Paranapanema"," 3530201"," ESP"," -51.9520611111111"," -22.4071166666667",62
"63","Funciona","POINT (-47.9778111111111 -23.8652472222222)","Rural",NA,NA," GLEBA DOS PINHAIS"," APORTE EMITIDO"," 10"," CASA"," RURAL"," 100000"," 395000"," Estrada N/C"," S/N"," DOS PAULOS"," 18230000"," São Miguel Arcanjo"," 3550209"," RMS"," -47.9778111111111"," -23.8652472222222",63
"64","Funciona","POINT (-52.1469638888889 -22.5101777777778)","Rural",NA,NA," ASSENT DONA CARMEM - GRUPO A"," OBRAS"," 27"," CASA"," RURAL"," 270000"," 1066500"," Rodovia EUCLIDES DE OLIVEIRA FIGUEIREDO"," KM 2"," ZONA RURAL"," 19260000"," Mirante do Paranapanema"," 3530201"," ESP"," -52.1469638888889"," -22.5101777777778",64
"65","Funciona","POINT (-51.2506 -21.2771972222222)","Rural",NA,NA," ASSENT FLORESTAN FERNANDES - GRUPO B"," OBRAS"," 9"," CASA"," RURAL"," 90000"," 355500"," Estrada de Ligação MIRANDOPOLIS A PACAEMBU"," KM 66"," CENTRO"," 16920000"," Mirandópolis"," 3530102"," ESP"," -51.2506"," -21.2771972222222",65
"66","Funciona","POINT (-51.2505555555556 -21.2768888888889)","Rural",NA,NA," ASSENT FLORESTAN FERNANDES - GRUPO C"," OBRAS"," 8"," CASA"," RURAL"," 80000"," 316000"," Estrada de Ligação MIRANDOPOLIS A PACAEMBU"," KM 66"," CENTRO"," 16920000"," Mirandópolis"," 3530102"," ESP"," -51.2505555555556"," -21.2768888888889",66
"67","Funciona","POINT (-51.2505833333333 -21.2772777777778)","Rural",NA,NA," ASSENT FLORESTAN FERNANDES - GRUPO D"," OBRAS"," 14"," CASA"," RURAL"," 140000"," 553000"," Estrada de Ligação MIRANDOPOLIS A PACAEMBU"," KM 66"," CENTRO"," 16920000"," Mirandópolis"," 3530102"," ESP"," -51.2505833333333"," -21.2772777777778",67
"68","Funciona","POINT (-51.2506 -21.2771972222222)","Rural",NA,NA," ASSENT FLORESTAN FERNANDES - GRUPO E"," OBRAS"," 10"," CASA"," RURAL"," 100000"," 395000"," Estrada de Ligação MIRANDOPOLIS A PACAEMBU"," KM 66"," CENTRO"," 16920000"," Mirandópolis"," 3530102"," ESP"," -51.2506"," -21.2771972222222",68
"69","Funciona","POINT (-51.2505833333333 -21.2774444444444)","Rural",NA,NA," ASSENT FLORESTAN FERNANDES - GRUPO F"," OBRAS"," 8"," CASA"," RURAL"," 80000"," 316000"," Estrada de Ligação MIRANDOPOLIS A PACAEMBU"," KM 66"," CENTRO"," 16920000"," Mirandópolis"," 3530102"," ESP"," -51.2505833333333"," -21.2774444444444",69
"70","Funciona","POINT (-51.2816944444444 -21.4655722222222)","Rural",NA,NA," BOA ESPERANÇA I - GRUPO 01"," OBRAS"," 26"," CASA"," RURAL"," 260000"," 1027000"," Estrada VICINAL KOWITIRO SATO"," KM 12"," N/C"," 17860970"," Pacaembu"," 3534906"," ESP"," -51.2816944444444"," -21.4655722222222",70
