"","status","geometry","type","source","sYear","Empreendimento","Fase","Quantidade de UH"," Tipo de UH"," Programa"," Valor Estadual"," Valor Total"," Logradouro"," Número do Logradouro"," Bairro"," CEP"," Município"," Código do Município"," Região","Longitude","Latitude","id"
"78","Funciona","POINT (-46.2906055555556 -23.5051138888889)","Empreendimentos","Casa Paulista","2014"," RESIDENCIAL CONDOMÍNIO BOSQUE DAS FLORES"," OBRAS"," 500"," APTO"," FAR"," 9999999,99"," 47999999,99"," Avenida WASHINGTON LUIZ"," 653"," RIO BAIXO"," 08696040"," Suzano"," 3552502"," RMSP"," -46.2906055555556"," -23.5051138888889",78
"79","Funciona","POINT (-46.794425 -23.6779444444444)","Empreendimentos","Casa Paulista","2014"," RESIDENCIAL DOM JOSÉ I"," OBRAS"," 200"," APTO"," Entidade"," 3975556,86"," 19189259,68"," Estrada                   DE ITAPECERICA DA SERRA"," 8500"," Valo Velho"," 05858002"," São Paulo"," 3550308"," RMSP"," -46.794425"," -23.6779444444444",79
"80","Funciona","POINT (-46.8948333333333 -24.1918611111111)","Empreendimentos","Casa Paulista","2014"," RESIDENCIAL DOS PÁSSAROS - CONDOMÍNIO DAS ANDORINHAS"," OBRAS"," 72"," APTO"," FAR"," 1440000"," 6912000"," Rua 14"," 0"," SAVOY II"," "," Itanhaém"," 3522109"," RMBS"," -46.8948333333333"," -24.1918611111111",80
"81","Funciona","POINT (-46.8610833333333 -24.1822777777778)","Empreendimentos","Casa Paulista","2014"," RESIDENCIAL DOS PÁSSAROS - CONDOMÍNIO DAS ARAPONGAS"," OBRAS"," 72"," APTO"," FAR"," 1440000"," 6912000"," Rua F"," 0"," SAVOY II"," "," Itanhaém"," 3522109"," RMBS"," -46.8610833333333"," -24.1822777777778",81
"82","Funciona","POINT (-46.8945555555556 -24.1941944444444)","Empreendimentos","Casa Paulista","2014"," RESIDENCIAL DOS PÁSSAROS - CONDOMÍNIO DAS ARARAS"," OBRAS"," 72"," APTO"," FAR"," 1440000"," 6912000"," Rua 14"," 0"," SAVOY II"," "," Itanhaém"," 3522109"," RMBS"," -46.8945555555556"," -24.1941944444444",82
"83","Funciona","POINT (-46.87175 -24.2210277777778)","Empreendimentos","Casa Paulista","2014"," RESIDENCIAL DOS PÁSSAROS - CONDOMÍNIO DAS GAIVOTAS"," OBRAS"," 36"," APTO"," FAR"," 720000"," 3456000"," Rua H"," 0"," SAVOY II"," "," Itanhaém"," 3522109"," RMBS"," -46.87175"," -24.2210277777778",83
"84","Funciona","POINT (-46.8333611111111 -24.1806944444444)","Empreendimentos","Casa Paulista","2014"," RESIDENCIAL DOS PÁSSAROS - CONDOMÍNIO DAS GRALHAS"," OBRAS"," 72"," APTO"," FAR"," 1440000"," 6912000"," Rua 7"," 0"," SAVOY II"," "," Itanhaém"," 3522109"," RMBS"," -46.8333611111111"," -24.1806944444444",84
"85","Funciona","POINT (-46.8337222222222 -24.1757222222222)","Empreendimentos","Casa Paulista","2014"," RESIDENCIAL DOS PÁSSAROS - CONDOMÍNIO DAS JAÇANÃS"," OBRAS"," 60"," APTO"," FAR"," 1200000"," 5760000"," Rua A"," 0"," SAVOY II"," "," Itanhaém"," 3522109"," RMBS"," -46.8337222222222"," -24.1757222222222",85
"86","Funciona","POINT (-46.8333888888889 -24.1773888888889)","Empreendimentos","Casa Paulista","2014"," RESIDENCIAL DOS PÁSSAROS - CONDOMÍNIO DAS JACUTINGAS"," OBRAS"," 84"," APTO"," FAR"," 1680000"," 8064000"," Avenida A (LE)"," 0"," SAVOY II"," "," Itanhaém"," 3522109"," RMBS"," -46.8333888888889"," -24.1773888888889",86
"87","Funciona","POINT (-46.8327777777778 -24.1756666666667)","Empreendimentos","Casa Paulista","2014"," RESIDENCIAL DOS PÁSSAROS - CONDOMÍNIO DAS SAÍRAS"," OBRAS"," 96"," APTO"," FAR"," 1920000"," 9216000"," Rua A (LE)"," 0"," SAVOY II"," "," Itanhaém"," 3522109"," RMBS"," -46.8327777777778"," -24.1756666666667",87
